Package,Name,Version,Architecture
com.wkk.cozybadges,CozyBadges,2.1,iphoneos-arm64e
com.wkk.cqkjlogo,重启用户空间logo制作终端(自用),1.0,iphoneos-arm64e
com.wkk.crane,Crane,1.3.16-4,iphoneos-arm64e
com.wkk.cxdebdylib,一键查询已安装插件,1.0,iphoneos-arm64e
com.wkk.dawn,Dawn,1.1,iphoneos-arm64e
com.wkk.dbhook,豆瓣NoAds,1.0-1,iphoneos-arm64e
com.wkk.ddcxhook,嘀嗒出行NoAds,1.0-1,iphoneos-arm64e
com.wkk.debbatch,一键解压/打包deb(自用),1.2,iphoneos-arm64e
com.wkk.didihook,滴滴出行NoAds,1.0,iphoneos-arm64e
com.wkk.ding,Ding,1.1.0,iphoneos-arm64e
com.wkk.dkkjhook,动卡空间NoAds,1.0,iphoneos-arm64e
com.wkk.dmhook,大麦NoAds,1.0,iphoneos-arm64e
com.wkk.dndmyrecording,DNDMyRecording,1.3,iphoneos-arm64e
com.wkk.dockx,DockX,2.6.2,iphoneos-arm64e
com.wkk.doodle,Doodle,1.2,iphoneos-arm64e
com.wkk.doubletapflipcamera,DoubleTapFlipCamera,1.1,iphoneos-arm64e
com.wkk.douyutvhook,斗鱼NoAds,1.0,iphoneos-arm64e
com.wkk.dualswipeshot,双指下滑截图,1.0-1,iphoneos-arm64e
com.wkk.dy,dyyy养老个人配置(自用),1.2,iphoneos-arm64e
com.wkk.dylibbatch,一键提取dylib(自用),1.0,iphoneos-arm64e
com.wkk.dynamicislandanimation,灵动岛跳舞动画PLUS,1.1.8,iphoneos-arm64e
com.wkk.dynamicislandsucai,灵动岛跳舞动画素材,1.0-1,iphoneos-arm64e
com.wkk.dzdphook,大众点评NoAds,1.1,iphoneos-arm64e
com.wkk.editpre,隐藏设置里插件,0.0.1,iphoneos-arm64e
com.wkk.ersatz,Ersatz,1.0,iphoneos-arm64e
com.wkk.everest,Everest,1.0.1,iphoneos-arm64e
com.wkk.fanqiehook,番茄小说NoAds,1.0,iphoneos-arm64e
com.wkk.fastlock,FastLock,1.0.1,iphoneos-arm64e
com.wkk.fbhook,粉笔NoAds,1.0-1,iphoneos-arm64e
com.wkk.feizhuhook,飞猪旅行NoAds,1.0-1,iphoneos-arm64e
